guesses,clues,boards
"['disease', 'death']",illness,"green: ['poison', 'march', 'king', 'lap', 'degree', 'scientist', 'part', 'center', 'disease'], black: ['charge', 'crash', 'point'], tan: ['ghost', 'superhero', 'genius', 'state', 'vacuum', 'alien', 'plot', 'death', 'trip', 'check', 'life', 'soul', 'pass']"
"['scientist', 'center']",college,"green: ['march', 'lap', 'degree', 'scientist', 'part', 'center'], black: ['charge', 'crash', 'point'], tan: ['ghost', 'superhero', 'state', 'vacuum', 'alien', 'plot', 'trip', 'check', 'soul', 'pass']"
"['unicorn', 'ray']",horn,"green: ['air', 'pass', 'drop', 'field', 'ray', 'unicorn', 'switch', 'tag', 'mine'], black: ['compound', 'match', 'witch'], tan: ['change', 'cycle', 'check', 'comic', 'time', 'beat', 'day', 'state', 'scientist', 'spell', 'degree', 'genius', 'alien']"
"['witch', 'day']",halloween,"green: ['air', 'cycle', 'beat', 'spell', 'tag', 'witch', 'mine', 'genius', 'alien'], black: ['day', 'unicorn', 'match'], tan: ['change', 'pass', 'check', 'drop', 'comic', 'time', 'compound', 'field', 'state', 'scientist', 'ray', 'switch', 'degree']"
"['crash', 'slip']",accident,"green: ['bond', 'march', 'slip', 'angel', 'racket', 'draft', 'beat', 'row', 'crash'], black: ['ghost', 'fighter', 'trip'], tan: ['ray', 'well', 'round', 'plot', 'soul', 'link', 'mount', 'charge', 'poison', 'light', 'vacuum', 'grace', 'spy']"
"['draft', 'angel', 'soul']",heaven,"green: ['bond', 'angel', 'draft', 'beat'], black: ['ghost', 'fighter', 'trip'], tan: ['ray', 'well', 'round', 'plot', 'soul', 'link', 'mount', 'poison', 'light', 'vacuum', 'grace', 'spy']"
"['bond', 'beat']",friendship,"green: ['bond', 'beat'], black: ['ghost', 'fighter', 'trip'], tan: ['ray', 'well', 'round', 'plot', 'link', 'mount', 'poison', 'light', 'vacuum', 'grace', 'spy']"
"['ghost', 'grace']",holy,"green: ['ray', 'soul', 'slip', 'ghost', 'racket', 'light', 'vacuum', 'crash', 'grace'], black: ['mount', 'fighter', 'beat'], tan: ['well', 'round', 'plot', 'bond', 'march', 'link', 'charge', 'angel', 'poison', 'draft', 'trip', 'row', 'spy']"
"['ray', 'light']",sun,"green: ['ray', 'soul', 'racket', 'light', 'vacuum'], black: ['mount', 'fighter', 'beat'], tan: ['well', 'round', 'plot', 'bond', 'march', 'link', 'charge', 'angel', 'poison', 'draft', 'trip', 'row', 'spy']"
"['state', 'round']",texas,"green: ['state', 'round'], black: ['switch', 'force', 'soul'], tan: ['point', 'wake', 'racket', 'roulette', 'figure', 'wind', 'compound', 'comic', 'mount', 'vacuum', 'witch', 'spot', 'drop']"
"['pitch', 'capital']",busness,"green: ['row', 'capital'], black: ['boom', 'ghost', 'pitch'], tan: ['fighter', 'center', 'mount', 'genius', 'round', 'cast', 'wake', 'day', 'lap', 'strike', 'pass']"
"['ninja', 'undertaker']",blade,"green: ['ninja', 'pass', 'fighter', 'date', 'cover', 'force', 'tag', 'mine', 'disease'], black: ['boom', 'king', 'novel'], tan: ['green', 'scientist', 'bond', 'link', 'angel', 'undertaker', 'centaur', 'plot', 'light', 'soul', 'field', 'cast', 'time']"
"['green', 'scientist']",hulk.,"green: ['green', 'scientist', 'angel', 'fighter', 'force'], black: ['pass', 'king', 'cast'], tan: ['bond', 'link', 'undertaker', 'date', 'cover', 'light', 'soul', 'tag', 'mine', 'field', 'time', 'disease', 'novel']"
"['well', 'play']",show,"green: ['death', 'play'], black: ['row', 'agent', 'angel'], tan: ['pitch', 'figure', 'field', 'well', 'sub', 'ray', 'tag', 'wind', 'luck', 'code', 'change']"
"['racket', 'ray']",lightning,"green: ['pitch', 'ray', 'cover', 'racket', 'agent', 'code', 'point', 'change'], black: ['row', 'tag', 'war'], tan: ['round', 'cast', 'genius', 'figure', 'ninja', 'field', 'death', 'well', 'sub', 'revolution', 'play', 'angel', 'luck']"
"['code', 'change']",password,"green: ['pitch', 'cover', 'agent', 'code', 'change'], black: ['row', 'tag', 'war'], tan: ['round', 'cast', 'genius', 'ninja', 'field', 'death', 'well', 'sub', 'revolution', 'play', 'angel', 'luck']"
"['agent', 'death']",fbi,"green: ['pitch', 'agent'], black: ['row', 'tag', 'war'], tan: ['round', 'cast', 'genius', 'ninja', 'field', 'death', 'well', 'sub', 'revolution', 'play', 'angel', 'luck']"
"['switch', 'compound']",on,"green: ['figure', 'switch'], black: ['life', 'sub', 'plot'], tan: ['poison', 'force', 'field', 'mass', 'king', 'agent', 'compound', 'time', 'undertaker', 'superhero', 'roulette']"
"['pass', 'opera']",tickets,"green: ['pass', 'opera', 'centaur', 'cover', 'well'], black: ['light', 'space', 'state'], tan: ['club', 'plot', 'soul', 'millionaire', 'spot', 'pitch', 'lead', 'poison', 'change', 'mammoth', 'boom', 'compound', 'mass']"
"['light', 'plot']",conceal,"green: ['cover'], black: ['light', 'space', 'state'], tan: ['plot', 'soul', 'millionaire', 'spot', 'pitch', 'lead', 'poison', 'change', 'mammoth', 'boom', 'compound', 'mass']"
"['fighter', 'contract']",boxing,"green: ['fighter', 'contract'], black: ['light', 'pitch', 'boom'], tan: ['opera', 'ninja', 'scientist', 'slip', 'pass', 'lap', 'bond', 'soul', 'life', 'cast', 'cold', 'spot', 'charge']"
"['conductor', 'sound', 'opera']",music,"green: ['embassy', 'draft', 'conductor', 'state', 'opera', 'sub', 'beat', 'day', 'sound'], black: ['charge', 'switch', 'alien'], tan: ['tag', 'genius', 'undertaker', 'spell', 'lead', 'light', 'cast', 'superhero', 'millionaire', 'poison', 'centaur', 'spring', 'agent']"
"['draft', 'charge']",military,"green: ['draft', 'state', 'sub', 'beat', 'day'], black: ['charge', 'switch', 'alien'], tan: ['tag', 'genius', 'undertaker', 'spell', 'lead', 'light', 'cast', 'superhero', 'millionaire', 'poison', 'centaur', 'spring', 'agent']"
"['war', 'fighter']",soldier,"green: ['death', 'slip', 'wind', 'press', 'war', 'force', 'link', 'witch', 'state'], black: ['undertaker', 'bond', 'agent'], tan: ['green', 'check', 'compound', 'comic', 'row', 'fighter', 'cold', 'play', 'king', 'fall', 'mammoth', 'mine', 'spring']"
"['force', 'agent']",magic,"green: ['death', 'slip', 'wind', 'press', 'force', 'link', 'witch', 'state'], black: ['undertaker', 'bond', 'agent'], tan: ['green', 'check', 'compound', 'comic', 'row', 'cold', 'play', 'king', 'fall', 'mammoth', 'mine', 'spring']"
"['wake', 'club', 'spy']",night,"green: ['air', 'day', 'scientist', 'club', 'wake', 'field', 'press', 'racket', 'drop'], black: ['superhero', 'round', 'fair'], tan: ['spy', 'ray', 'stock', 'space', 'cover', 'angel', 'fighter', 'alien', 'comic', 'mount', 'conductor', 'bond', 'march']"
"['scientist', 'racket', 'space']",science,"green: ['air', 'day', 'scientist', 'field', 'press', 'racket', 'drop'], black: ['superhero', 'round', 'fair'], tan: ['ray', 'stock', 'space', 'cover', 'angel', 'fighter', 'alien', 'comic', 'mount', 'conductor', 'bond', 'march']"
"['air', 'mount']",oxygen,"green: ['air', 'day', 'field', 'press', 'drop'], black: ['superhero', 'round', 'fair'], tan: ['ray', 'stock', 'cover', 'angel', 'fighter', 'alien', 'comic', 'mount', 'conductor', 'bond', 'march']"
"['press', 'cover']",journalist,"green: ['day', 'field', 'press', 'drop'], black: ['superhero', 'round', 'fair'], tan: ['ray', 'stock', 'cover', 'angel', 'fighter', 'alien', 'comic', 'conductor', 'bond', 'march']"
"['leprechaun', 'centaur', 'draft', 'press']",creature,"green: ['strike', 'leprechaun', 'trip', 'green', 'change', 'centaur', 'draft', 'press', 'ghost'], black: ['center', 'poison', 'vacuum'], tan: ['ray', 'pass', 'point', 'grace', 'opera', 'match', 'wake', 'march', 'figure', 'agent', 'drop', 'well']"
"['trip', 'green']",ireland,"green: ['trip', 'green', 'change', 'ghost'], black: ['center', 'poison', 'vacuum'], tan: ['ray', 'pass', 'point', 'grace', 'opera', 'match', 'wake', 'march', 'figure', 'agent', 'drop', 'well']"
"['point', 'match']",bowling,"green: ['strike', 'ray', 'leprechaun', 'point', 'grace', 'match', 'wake', 'poison', 'press'], black: ['center', 'centaur', 'drop'], tan: ['pass', 'trip', 'opera', 'green', 'change', 'march', 'figure', 'draft', 'part', 'agent', 'ghost', 'well', 'vacuum']"
"['ray', 'strike']",sun,"green: ['strike', 'ray', 'grace', 'wake', 'poison'], black: ['center', 'centaur', 'drop'], tan: ['pass', 'trip', 'opera', 'green', 'change', 'march', 'figure', 'draft', 'part', 'agent', 'ghost', 'well', 'vacuum']"
"['luck', 'code', 'bond', 'green', 'wind']",god,"green: ['luck', 'code', 'disease', 'beat', 'bond', 'revolution', 'green', 'wind', 'novel'], black: ['centaur', 'part', 'day'], tan: ['cast', 'sound', 'lap', 'pass', 'degree', 'alien', 'spy', 'trip', 'fair', 'center', 'pitch', 'check', 'crash']"
"['novel', 'revolution', 'beat', 'disease']",book,"green: ['disease', 'beat', 'revolution', 'novel'], black: ['centaur', 'part', 'day'], tan: ['cast', 'sound', 'lap', 'pass', 'degree', 'alien', 'spy', 'trip', 'fair', 'center', 'pitch', 'check', 'crash']"
"['center', 'centaur', 'pitch']",judge,"green: ['centaur', 'pitch'], black: ['pass', 'part', 'wind'], tan: ['sound', 'lap', 'degree', 'disease', 'alien', 'bond', 'revolution', 'green', 'center', 'day', 'check', 'crash', 'novel']"
"['king', 'grace']",queen,"green: ['grace', 'mine', 'date', 'king'], black: ['spring', 'match', 'revolution'], tan: ['spot', 'club', 'charge', 'roulette', 'vacuum', 'force', 'ghost', 'poison', 'life', 'press', 'cast', 'row', 'ray']"
"['date', 'life']",birthday,"green: ['mine', 'date'], black: ['spring', 'match', 'revolution'], tan: ['spot', 'club', 'charge', 'roulette', 'vacuum', 'force', 'ghost', 'poison', 'life', 'press', 'cast', 'row', 'ray']"
"['ray', 'day']",sun,"green: ['agent', 'charge', 'vacuum', 'force', 'day', 'revolution', 'cast', 'ray'], black: ['genius', 'spot', 'match'], tan: ['grace', 'centaur', 'spring', 'club', 'roulette', 'ghost', 'poison', 'mine', 'life', 'date', 'press', 'row', 'king']"
"['charge', 'force']",energy,"green: ['charge', 'force', 'revolution', 'cast'], black: ['genius', 'spot', 'match'], tan: ['grace', 'centaur', 'spring', 'club', 'roulette', 'ghost', 'poison', 'mine', 'life', 'date', 'press', 'row', 'king']"
"['date', 'bond']",blind,"green: ['charge', 'bond', 'date'], black: ['vacuum', 'press', 'center'], tan: ['crash', 'tag', 'day', 'spy', 'mount', 'comic', 'figure', 'agent', 'cycle', 'conductor', 'luck', 'war']"
"['center', 'luck']",middle,"green: ['crash', 'agent', 'center', 'luck'], black: ['vacuum', 'boom', 'cycle'], tan: ['tag', 'press', 'charge', 'code', 'bond', 'unicorn', 'spy', 'mount', 'row', 'comic', 'ghost', 'war']"
"['club', 'centaur']",night,"green: ['centaur', 'club'], black: ['press', 'cover', 'play'], tan: ['unicorn', 'strike', 'soul', 'stock', 'air', 'ghost', 'code', 'figure', 'revolution', 'poison', 'leprechaun', 'death', 'contract']"
"['leprechaun', 'ray']",gold,"green: ['beat', 'fall', 'compound', 'capital', 'leprechaun', 'sub', 'pitch', 'degree'], black: ['genius', 'time', 'stock'], tan: ['cold', 'ray', 'trip', 'ninja', 'spell', 'spy', 'drop', 'cover', 'life', 'ghost', 'figure']"
"['pitch', 'fall', 'trip']",stumble,"green: ['beat', 'fall', 'compound', 'sub', 'pitch', 'degree'], black: ['genius', 'time', 'stock'], tan: ['cold', 'trip', 'ninja', 'spell', 'spy', 'drop', 'cover', 'life', 'ghost', 'figure']"
"['beat', 'cold']",win,"green: ['beat', 'compound', 'sub', 'degree'], black: ['genius', 'time', 'stock'], tan: ['cold', 'ninja', 'spell', 'spy', 'drop', 'cover', 'life', 'ghost', 'figure']"
"['date', 'sub']",calendar,"green: ['time', 'ray', 'capital', 'spell', 'drop', 'date', 'life', 'pitch', 'superhero'], black: ['beat', 'genius', 'figure'], tan: ['fall', 'cold', 'compound', 'trip', 'ninja', 'leprechaun', 'stock', 'spy', 'cover', 'pass', 'sub', 'degree', 'ghost']"
"['spell', 'fall']",hex,"green: ['time', 'ray', 'capital', 'spell', 'drop', 'life', 'pitch', 'superhero'], black: ['beat', 'genius', 'figure'], tan: ['fall', 'compound', 'trip', 'ninja', 'leprechaun', 'stock', 'spy', 'cover', 'pass', 'degree', 'ghost']"
"['drop', 'time']",down,"green: ['time', 'ray', 'capital', 'drop', 'life', 'pitch', 'superhero'], black: ['beat', 'genius', 'figure'], tan: ['compound', 'trip', 'ninja', 'leprechaun', 'stock', 'spy', 'cover', 'pass', 'degree', 'ghost']"
"['revolution', 'crash']",war,"green: ['crash', 'revolution'], black: ['stock', 'comic', 'strike'], tan: ['roulette', 'life', 'plot', 'lead', 'cold', 'wake', 'ray', 'date', 'undertaker', 'change', 'cycle', 'poison', 'fighter']"
"['link', 'ghost', 'disease']",chain,"green: ['point', 'ghost', 'link', 'disease'], black: ['centaur', 'draft', 'revolution'], tan: ['slip', 'cold', 'figure', 'king', 'novel', 'fair', 'ninja', 'opera', 'force', 'cycle', 'cover', 'field']"
"['cover', 'novel']",book,"green: ['figure', 'king', 'novel', 'tag', 'millionaire', 'cover', 'row', 'boom', 'revolution'], black: ['link', 'force', 'draft'], tan: ['slip', 'conductor', 'cold', 'fair', 'point', 'ninja', 'opera', 'ghost', 'centaur', 'cycle', 'field', 'disease', 'air']"
"['lap', 'row']",swim,"green: ['well', 'link', 'club', 'cycle', 'leprechaun', 'press', 'cast', 'lap'], black: ['tag', 'racket', 'crash'], tan: ['plot', 'mount', 'row', 'field', 'sub', 'roulette', 'draft', 'fighter', 'comic', 'embassy', 'opera', 'cold']"
"['cast', 'cold']",skillet,"green: ['well', 'link', 'club', 'cycle', 'leprechaun', 'press', 'cast'], black: ['tag', 'racket', 'crash'], tan: ['plot', 'mount', 'field', 'sub', 'roulette', 'draft', 'fighter', 'comic', 'embassy', 'opera', 'cold']"
"['sub', 'link']",hoagie,"green: ['mount', 'club', 'field', 'sub', 'change', 'press', 'crash', 'cold'], black: ['draft', 'leprechaun', 'racket'], tan: ['plot', 'well', 'link', 'row', 'roulette', 'fighter', 'comic', 'tag', 'embassy', 'cycle', 'cast', 'opera', 'lap']"
"['crash', 'draft']",impact,"green: ['club', 'field', 'change', 'press', 'crash', 'cold'], black: ['draft', 'leprechaun', 'racket'], tan: ['plot', 'well', 'row', 'roulette', 'fighter', 'comic', 'tag', 'embassy', 'cycle', 'cast', 'opera', 'lap']"
"['bond', 'spy', 'agent']",james,"green: ['lap', 'row', 'check', 'witch', 'bond', 'spring', 'cover', 'spy', 'cold'], black: ['fall', 'field', 'soul'], tan: ['contract', 'revolution', 'green', 'time', 'beat', 'trip', 'agent', 'switch', 'genius', 'boom', 'lead', 'king', 'sub']"
"['superhero', 'leprechaun']",fantastical,"green: ['part', 'ray', 'pitch', 'superhero', 'racket', 'contract', 'link', 'fighter', 'leprechaun'], black: ['draft', 'strike', 'vacuum'], tan: ['space', 'charge', 'scientist', 'point', 'poison', 'spot', 'mount', 'embassy', 'tag', 'disease', 'genius', 'switch', 'death']"
"['pitch', 'strike', 'switch']",cricket,"green: ['part', 'ray', 'pitch', 'racket', 'contract', 'link', 'fighter'], black: ['draft', 'strike', 'vacuum'], tan: ['space', 'charge', 'scientist', 'point', 'poison', 'spot', 'mount', 'embassy', 'tag', 'disease', 'genius', 'switch', 'death']"
"['scientist', 'disease', 'death']",covid19,"green: ['scientist', 'racket', 'mount', 'vacuum', 'fighter', 'disease', 'switch', 'leprechaun', 'death'], black: ['charge', 'strike', 'contract'], tan: ['part', 'space', 'point', 'ray', 'pitch', 'poison', 'draft', 'superhero', 'spot', 'embassy', 'tag', 'link', 'genius']"
"['change', 'switch']",modify,"green: ['conductor', 'change', 'switch', 'cover', 'point'], black: ['ghost', 'novel', 'play'], tan: ['life', 'part', 'undertaker', 'day', 'fighter', 'time', 'press', 'mount', 'angel', 'code', 'charge', 'comic', 'slip']"
"['lap', 'press']",cycle,"green: ['fair', 'row', 'wake', 'boom', 'green', 'lap', 'code', 'soul', 'revolution'], black: ['mount', 'pitch', 'war'], tan: ['day', 'strike', 'press', 'play', 'mammoth', 'novel', 'life', 'conductor', 'spot', 'agent', 'cold', 'wind', 'space']"
"['boom', 'war']",loud,"green: ['fair', 'row', 'wake', 'boom', 'lap', 'code', 'soul', 'revolution'], black: ['mount', 'pitch', 'war'], tan: ['day', 'strike', 'press', 'play', 'mammoth', 'novel', 'life', 'conductor', 'spot', 'agent', 'cold', 'wind', 'space']"
"['ghost', 'centaur']",supernatural,"green: ['grace', 'novel', 'mass', 'centaur', 'field', 'mine', 'capital', 'wind', 'ghost'], black: ['soul', 'undertaker', 'angel'], tan: ['agent', 'pass', 'match', 'spell', 'figure', 'sound', 'cold', 'roulette', 'check', 'scientist', 'death', 'racket', 'superhero']"
"['mine', 'mass']",minerals,"green: ['grace', 'novel', 'mass', 'field', 'mine', 'capital', 'wind'], black: ['soul', 'undertaker', 'angel'], tan: ['agent', 'pass', 'match', 'spell', 'figure', 'sound', 'cold', 'roulette', 'check', 'scientist', 'death', 'racket', 'superhero']"
"['crash', 'life']",death,"green: ['life', 'wake', 'strike', 'centaur', 'opera', 'cycle', 'conductor', 'mammoth', 'crash'], black: ['match', 'roulette', 'scientist'], tan: ['fighter', 'part', 'genius', 'center', 'lead', 'date', 'field', 'charge', 'wind', 'novel', 'alien', 'drop', 'cover']"
"['life', 'death']",live,"green: ['spot', 'beat', 'draft', 'life', 'switch', 'soul', 'well', 'conductor', 'air'], black: ['unicorn', 'sub', 'king'], tan: ['cold', 'ninja', 'grace', 'trip', 'match', 'genius', 'novel', 'death', 'agent', 'capital', 'boom', 'fall', 'lead']"
"['beat', 'match']",fight,"green: ['spot', 'beat', 'draft', 'switch', 'soul', 'well', 'conductor', 'air'], black: ['unicorn', 'sub', 'king'], tan: ['cold', 'ninja', 'grace', 'match', 'genius', 'novel', 'agent', 'capital', 'boom', 'fall', 'lead']"
"['field', 'match']",cricket,"green: ['tag', 'field', 'ray', 'match', 'point', 'mount', 'scientist', 'change'], black: ['figure', 'fighter', 'draft'], tan: ['cover', 'mass', 'angel', 'lead', 'slip', 'wind', 'force', 'fall', 'poison', 'spy', 'pitch', 'beat', 'lap']"
"['point', 'mount']",goal,"green: ['ray', 'point', 'mount', 'scientist', 'change'], black: ['figure', 'fighter', 'draft'], tan: ['cover', 'mass', 'angel', 'lead', 'slip', 'wind', 'force', 'fall', 'poison', 'spy', 'pitch', 'beat', 'lap']"
"['ray', 'scientist']",radium,"green: ['ray', 'scientist', 'change'], black: ['figure', 'fighter', 'draft'], tan: ['cover', 'mass', 'angel', 'lead', 'slip', 'wind', 'force', 'fall', 'poison', 'spy', 'pitch', 'beat', 'lap']"
"['tag', 'cover']",suitcase,"green: ['tag', 'cover', 'mass', 'slip', 'point', 'spy', 'lap', 'draft'], black: ['ray', 'figure', 'fall'], tan: ['angel', 'field', 'lead', 'wind', 'force', 'match', 'poison', 'fighter', 'mount', 'pitch', 'scientist', 'beat', 'change']"
"['slip', 'draft']",bill,"green: ['mass', 'slip', 'spy', 'lap', 'draft'], black: ['ray', 'figure', 'fall'], tan: ['angel', 'field', 'lead', 'wind', 'force', 'match', 'poison', 'fighter', 'mount', 'pitch', 'scientist', 'beat', 'change']"
"['spy', 'lap']",hide,"green: ['mass', 'spy', 'lap'], black: ['ray', 'figure', 'fall'], tan: ['angel', 'field', 'lead', 'wind', 'force', 'match', 'poison', 'fighter', 'mount', 'pitch', 'scientist', 'beat', 'change']"
"['centaur', 'lap']",horse,"green: ['centaur', 'center', 'bond', 'check', 'poison', 'part', 'lap'], black: ['mount', 'war', 'round'], tan: ['point', 'wake', 'stock', 'millionaire', 'date', 'genius', 'revolution', 'club', 'opera', 'king', 'grace', 'strike', 'day']"
"['bond', 'center']",connection,"green: ['center', 'bond', 'check', 'poison'], black: ['mount', 'war', 'round'], tan: ['point', 'wake', 'stock', 'millionaire', 'date', 'genius', 'revolution', 'club', 'opera', 'king', 'grace', 'strike', 'day']"
"['check', 'poison']",test,"green: ['check', 'poison'], black: ['mount', 'war', 'round'], tan: ['point', 'wake', 'stock', 'millionaire', 'date', 'genius', 'revolution', 'club', 'opera', 'king', 'grace', 'strike', 'day']"
"['strike', 'stock']",line,"green: ['stock', 'millionaire', 'life', 'date', 'revolution', 'war', 'strike', 'part', 'air'], black: ['check', 'king', 'round'], tan: ['point', 'wake', 'centaur', 'genius', 'center', 'bond', 'club', 'mount', 'opera', 'grace', 'poison', 'lap', 'day']"
"['revolution', 'air']",pressure,"green: ['millionaire', 'date', 'revolution', 'war', 'part', 'air'], black: ['check', 'king', 'round'], tan: ['point', 'wake', 'centaur', 'genius', 'center', 'bond', 'club', 'mount', 'opera', 'grace', 'poison', 'lap', 'day']"
"['war', 'part']",fight,"green: ['millionaire', 'date', 'war', 'part'], black: ['check', 'king', 'round'], tan: ['point', 'wake', 'centaur', 'genius', 'center', 'bond', 'club', 'mount', 'opera', 'grace', 'poison', 'lap', 'day']"
"['undertaker', 'soul']",graveyard,"green: ['field', 'grace', 'spot', 'soul', 'mass', 'superhero', 'center', 'king', 'undertaker'], black: ['spell', 'part', 'crash'], tan: ['date', 'novel', 'charge', 'degree', 'switch', 'capital', 'row', 'plot', 'cycle', 'spring', 'lead', 'alien', 'angel']"
"['superhero', 'alien']",legendary,"green: ['field', 'grace', 'spot', 'mass', 'superhero', 'center', 'king'], black: ['spell', 'part', 'crash'], tan: ['date', 'novel', 'charge', 'degree', 'switch', 'capital', 'row', 'plot', 'cycle', 'spring', 'lead', 'alien', 'angel']"
"['mass', 'grace', 'novel']",prayer,"green: ['field', 'grace', 'spot', 'mass', 'king'], black: ['spell', 'part', 'crash'], tan: ['date', 'novel', 'charge', 'degree', 'switch', 'capital', 'row', 'plot', 'cycle', 'spring', 'lead', 'angel']"
"['angel', 'mass']",divine,"green: ['novel', 'degree', 'row', 'cycle', 'part', 'center', 'king', 'angel'], black: ['field', 'spell', 'alien'], tan: ['date', 'grace', 'spot', 'soul', 'charge', 'mass', 'switch', 'capital', 'superhero', 'spring', 'lead', 'crash']"
"['degree', 'center']",protractor,"green: ['novel', 'degree', 'row', 'cycle', 'part', 'center', 'king'], black: ['field', 'spell', 'alien'], tan: ['date', 'grace', 'spot', 'soul', 'charge', 'switch', 'capital', 'superhero', 'spring', 'lead', 'crash']"
"['life', 'space', 'compound']",air,"green: ['compound', 'spring', 'sound', 'vacuum', 'crash', 'space', 'ninja', 'fighter', 'life'], black: ['cover', 'undertaker', 'play'], tan: ['cast', 'club', 'angel', 'stock', 'millionaire', 'center', 'well', 'scientist', 'fall', 'row', 'mass', 'fair', 'embassy']"
"['ninja', 'fighter']",warrior,"green: ['spring', 'vacuum', 'ninja', 'fighter'], black: ['cover', 'undertaker', 'play'], tan: ['cast', 'club', 'angel', 'stock', 'millionaire', 'center', 'well', 'scientist', 'fall', 'row', 'mass', 'fair', 'embassy']"
"['death', 'scientist']",disease,"green: ['spot', 'death', 'ninja', 'check', 'link', 'scientist', 'day', 'bond'], black: ['millionaire', 'draft', 'slip'], tan: ['mine', 'grace', 'strike', 'figure', 'change', 'racket', 'space', 'lead', 'fall', 'centaur', 'sound', 'soul', 'wind']"
"['bond', 'ninja']",spy,"green: ['spot', 'ninja', 'check', 'day', 'bond'], black: ['millionaire', 'draft', 'slip'], tan: ['mine', 'grace', 'strike', 'figure', 'change', 'racket', 'space', 'lead', 'fall', 'centaur', 'sound', 'soul', 'wind']"
"['mine', 'figure']",number,"green: ['mine', 'slip', 'figure', 'change', 'check', 'soul'], black: ['draft', 'sound', 'bond'], tan: ['grace', 'strike', 'spot', 'death', 'millionaire', 'ninja', 'racket', 'fall', 'scientist', 'centaur', 'day', 'wind']"
"['unicorn', 'angel', 'bond']",fictional,"green: ['code', 'bond', 'mass', 'sub', 'tag', 'compound', 'unicorn', 'spring', 'angel'], black: ['well', 'air', 'fall'], tan: ['day', 'fighter', 'conductor', 'field', 'contract', 'green', 'link', 'strike', 'opera', 'part', 'light', 'agent', 'play']"
"['code', 'compound']",dna,"green: ['code', 'mass', 'tag', 'compound', 'spring'], black: ['well', 'air', 'fall'], tan: ['day', 'fighter', 'conductor', 'field', 'contract', 'green', 'link', 'strike', 'opera', 'part', 'light', 'agent', 'play']"
"['conductor', 'opera', 'play', 'strike', 'fighter']",orchestra,"green: ['fighter', 'conductor', 'air', 'strike', 'opera', 'play'], black: ['well', 'mass', 'link'], tan: ['day', 'field', 'code', 'contract', 'green', 'part', 'tag', 'compound', 'spring', 'fall', 'angel', 'agent']"
"['press', 'novel']",squeeze,"green: ['press', 'war', 'wind', 'fair', 'well', 'spot', 'compound', 'degree'], black: ['pitch', 'spy', 'bond'], tan: ['grace', 'field', 'strike', 'plot', 'play', 'mount', 'novel', 'time', 'code', 'space', 'cycle', 'green']"
"['well', 'wind']",water,"green: ['war', 'wind', 'fair', 'well', 'spot', 'compound', 'degree'], black: ['pitch', 'spy', 'bond'], tan: ['grace', 'field', 'strike', 'plot', 'play', 'mount', 'time', 'code', 'space', 'cycle', 'green']"
"['fair', 'war']",unfair,"green: ['war', 'fair', 'spot', 'compound'], black: ['pitch', 'spy', 'bond'], tan: ['grace', 'field', 'strike', 'plot', 'play', 'mount', 'time', 'code', 'space', 'cycle', 'green']"
"['field', 'pass', 'match']",quarterback,"green: ['bond', 'soul', 'field', 'pass', 'fighter', 'luck', 'lead', 'life'], black: ['march', 'time', 'drop'], tan: ['ninja', 'disease', 'wake', 'match', 'green', 'witch', 'cycle', 'round', 'poison', 'center', 'space', 'spy', 'pitch']"
"['soul', 'luck', 'witch']",spiritual,"green: ['bond', 'soul', 'fighter', 'luck', 'lead', 'life'], black: ['march', 'time', 'drop'], tan: ['ninja', 'disease', 'wake', 'green', 'witch', 'cycle', 'round', 'poison', 'center', 'space', 'spy', 'pitch']"
"['bond', 'life', 'space']",partner,"green: ['bond', 'lead', 'life'], black: ['march', 'time', 'drop'], tan: ['ninja', 'disease', 'wake', 'green', 'cycle', 'round', 'poison', 'center', 'space', 'spy', 'pitch']"
"['fighter', 'match']",boxer,"green: ['wake', 'fighter', 'witch', 'round', 'time', 'pitch'], black: ['space', 'drop', 'life'], tan: ['march', 'ninja', 'bond', 'disease', 'field', 'pass', 'match', 'cycle', 'luck', 'poison', 'lead', 'center', 'spy']"
"['pitch', 'round']",tone,"green: ['wake', 'witch', 'round', 'time', 'pitch'], black: ['space', 'drop', 'life'], tan: ['march', 'ninja', 'bond', 'disease', 'field', 'pass', 'cycle', 'luck', 'poison', 'lead', 'center', 'spy']"
"['witch', 'drop']",broomstick,"green: ['witch', 'time'], black: ['space', 'drop', 'life'], tan: ['march', 'ninja', 'bond', 'disease', 'field', 'pass', 'cycle', 'luck', 'poison', 'lead', 'center', 'spy']"
"['racket', 'field']",tennis,"green: ['unicorn', 'comic', 'cover', 'date', 'embassy', 'crash', 'pass', 'tag', 'racket'], black: ['ray', 'field', 'witch'], tan: ['trip', 'drop', 'degree', 'soul', 'angel', 'ninja', 'vacuum', 'disease', 'superhero', 'scientist', 'match', 'conductor', 'club']"
"['cover', 'part']",compoundwall,"green: ['cover', 'spot', 'racket', 'boom', 'part', 'mass'], black: ['row', 'fall', 'revolution'], tan: ['soul', 'round', 'point', 'agent', 'space', 'fighter', 'trip', 'cast', 'pass', 'unicorn', 'angel', 'light', 'ninja']"
"['light', 'switch']",power,"green: ['disease', 'center', 'change', 'lead', 'switch', 'date', 'roulette', 'light'], black: ['unicorn', 'draft', 'field'], tan: ['lap', 'slip', 'day', 'fighter', 'novel', 'ray', 'tag', 'compound', 'death', 'king', 'row', 'vacuum', 'revolution']"
